,Feature,Importance
0,top_12_in_ap_top_25_during_week_6?,0.19429256577543605
1,seed,0.13882812735886085
2,adjem,0.09658433234986402
3,adjusted_defensive_efficiency,0.06721776331893589
4,adjusted_offensive_efficiency,0.06537706920420956
5,raw_offensive_efficiency,0.04654770286178652
6,raw_defensive_efficiency,0.032093190974163854
7,ftrate_def,0.03078156503244125
8,efgpct_off,0.02830469253031296
9,efgpct_def,0.023427959634913207
10,oppfg3pct,0.0216260626952753
11,blockpct,0.021596286407278464
12,fg2pct,0.02061880545720526
13,fg3pct,0.020003285994761585
14,season,0.016293241187086034
15,oppfg2pct,0.016119690738704735
16,stlrate,0.014620021462465702
17,orpct_off,0.012344927859920796
18,defft,0.010152564738510759
19,ftpct,0.008459744934160733
20,arate,0.00805786248119421
21,topct_off,0.007652470670024535
22,sgor,0.007278778434242294
23,orpct_def,0.006023345743012306
24,adjtempo,0.005609016681435583
25,tempo,0.005409679883677315
26,centeror,0.004958398510625875
27,topct_def,0.0047392005790757785
28,off3ptfg,0.004421363703551501
29,opparate,0.004269697466872342
30,def3ptfg,0.0032966505235868097
31,oppstlrate,0.0032451545081775496
32,adjusted_tempo,0.003207975156005763
33,pgdr,0.0029845037236752876
34,off2ptfg,0.002893358445929961
35,avgheight,0.0028814935971297547
36,raw_tempo,0.002805092474777175
37,oppfg3rate,0.002782149897478349
38,offft,0.002596013052256281
39,ftrate_off,0.002461793164553165
40,fg3rate,0.0020605834976133264
41,def2ptfg,0.0018773375892059622
42,oppftpct,0.001870912713478572
43,bench,0.0016771868466298214
44,oppblockpct,0.0016215919286954258
45,sgheight,0.001601648863383066
46,centerdr,0.0013007271484187565
47,sfpts,0.0012977666218336897
48,effectiveheight,0.0012798602228493035
49,avg_possession_length_(offense),0.0010715388866014551
50,pfpts,0.0010482759958582333
51,pfor,0.000908953738773481
52,sgdr,0.0009012182320572987
53,centerheight,0.0008903572529597572
54,pfheight,0.0008847792651571448
55,pgpts,0.0007933648705095565
56,avg_possession_length_(defense),0.0007377497597951653
57,sfor,0.0007215016507400118
58,centerpts,0.0006909626802207601
59,pgheight,0.0006835505756731174
60,experience,0.0006520189802134352
61,sfdr,0.0005130295599046131
62,pfdr,0.00046317949706341964
63,sfheight,0.0004492475866020567
64,pgor,0.0004405023267083229
65,sgpts,0.00031292439802299424
66,dfp,0.0001780156168589335
67,oppnstrate,0.00011062621246323033
68,nstrate,9.698826813354133e-05
